row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
11488,YET919_BR3_21_04,YET919,ΔMPT5,BR3,04,21,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
11635,YET919_BR3_267_04,YET919,ΔMPT5,BR3,04,267,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
12123,YET919_BR3_173_01,YET919,ΔMPT5,BR3,01,173,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
12653,YET919_BR3_50_02,YET919,ΔMPT5,BR3,02,50,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
13000,YET919_BR3_74_03,YET919,ΔMPT5,BR3,03,74,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
13110,YET919_BR3_308_03,YET919,ΔMPT5,BR3,03,308,../../240909/YET919 BR3/output/YET919_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
26691,YET919_BR1_100_01,YET919,ΔMPT5,BR1,01,100,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
27411,YET919_BR1_58_04,YET919,ΔMPT5,BR1,04,58,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
27767,YET919_BR1_57_06,YET919,ΔMPT5,BR1,06,57,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
27779,YET919_BR1_73_06,YET919,ΔMPT5,BR1,06,73,../../220601/yET919 BR1/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_06
29298,YET919_BR2_9_01,YET919,ΔMPT5,BR2,01,9,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
29320,YET919_BR2_77_01,YET919,ΔMPT5,BR2,01,77,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_01
29391,YET919_BR2_10_02,YET919,ΔMPT5,BR2,02,10,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29392,YET919_BR2_13_02,YET919,ΔMPT5,BR2,02,13,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29399,YET919_BR2_22_02,YET919,ΔMPT5,BR2,02,22,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29595,YET919_BR2_29_03,YET919,ΔMPT5,BR2,03,29,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_03
29763,YET919_BR2_49_04,YET919,ΔMPT5,BR2,04,49,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_04
29871,YET919_BR2_11_05,YET919,ΔMPT5,BR2,05,11,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29879,YET919_BR2_21_05,YET919,ΔMPT5,BR2,05,21,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29915,YET919_BR2_58_05,YET919,ΔMPT5,BR2,05,58,../../220601/yET919 BR2/output/yET919-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
