row_id,uid,strain,condition,replicate,fov,image_cell_id,source_folder
6807,YET916_BR4_197_06,YET916,ΔSSD1,BR4,06,197,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_06
7299,YET916_BR4_77_01,YET916,ΔSSD1,BR4,01,77,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_01
7763,YET916_BR4_29_02,YET916,ΔSSD1,BR4,02,29,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
7861,YET916_BR4_145_02,YET916,ΔSSD1,BR4,02,145,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_02
8544,YET916_BR4_101_03,YET916,ΔSSD1,BR4,03,101,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_03
9090,YET916_BR4_214_04,YET916,ΔSSD1,BR4,04,214,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9121,YET916_BR4_250_04,YET916,ΔSSD1,BR4,04,250,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
9136,YET916_BR4_268_04,YET916,ΔSSD1,BR4,04,268,../../240909/YET916 BR4/output/YET916_ASH1CLB2Q670_SRL1cal610_SUN4Q570_04
26354,YET916_BR2_18_05,YET916,ΔSSD1,BR2,05,18,../../220601/yET916 BR2/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
28508,YET916_BR3_58_02,YET916,ΔSSD1,BR3,02,58,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_02
29034,YET916_BR3_53_05,YET916,ΔSSD1,BR3,05,53,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
29061,YET916_BR3_91_05,YET916,ΔSSD1,BR3,05,91,../../220601/yET916 BR3/output/yET916-SUN4Q570-SRL1CFR610-ASH1CLB2Q670_05
34817,YET916_BR1_76_28,YET916,ΔSSD1,BR1,28,76,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_28
35179,YET916_BR1_12_30,YET916,ΔSSD1,BR1,30,12,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_30
35348,YET916_BR1_20_32,YET916,ΔSSD1,BR1,32,20,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_32
35538,YET916_BR1_56_33,YET916,ΔSSD1,BR1,33,56,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_33
35746,YET916_BR1_146_31,YET916,ΔSSD1,BR1,31,146,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
35760,YET916_BR1_267_31,YET916,ΔSSD1,BR1,31,267,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
35777,YET916_BR1_423_31,YET916,ΔSSD1,BR1,31,423,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
35781,YET916_BR1_434_31,YET916,ΔSSD1,BR1,31,434,../../220429/yET916 BR1/output/yET916-ASH1CLB2Q670-SRL1CFL610-SUN4Q570_31
